protein	comparison	logFC	pvalue	qvalue
A4D1E9	ecoli_2-ecoli_1	0.08541636403633232	0.6474907353689131	1
A4D1E9	ecoli_3-ecoli_1	0.30626439025759367	0.12988601623342613	0.43756284854426214
A4D1E9	ecoli_7-ecoli_1	0.15089145612681262	0.4265542696696688	1
A4D1E9	ecoli_3-ecoli_2	0.22084802622126135	0.2562818089647247	0.6544286440940553
A4D1E9	ecoli_7-ecoli_2	0.0654750920904803	0.7251279505138468	1
A4D1E9	ecoli_7-ecoli_3	-0.15537293413078104	0.4135839951762672	1
A4D1S0	ecoli_2-ecoli_1	0	1	1
A4D1S0	ecoli_3-ecoli_1	0	1	1
A4D1S0	ecoli_7-ecoli_1	0	1	1
A4D1S0	ecoli_3-ecoli_2	0	1	1
A4D1S0	ecoli_7-ecoli_2	0	1	1
A4D1S0	ecoli_7-ecoli_3	0	1	1
A4FU01	ecoli_2-ecoli_1	-1.9870962415177083e-14	0.9999998655585693	1
A4FU01	ecoli_3-ecoli_1	-6.305754016912875e-14	0.9999995733701399	1
A4FU01	ecoli_7-ecoli_1	-1.96174002628342e-14	0.9999998672741006	1
A4FU01	ecoli_3-ecoli_2	-4.318657775395166e-14	0.9999997078115705	1
A4FU01	ecoli_7-ecoli_2	2.535621523428819e-16	0.9999999982844687	1
A4FU01	ecoli_7-ecoli_3	4.344013990629454e-14	0.9999997060960393	1
A4UGR9	ecoli_2-ecoli_1	0.11928256781579197	0.30535149118870614	1
A4UGR9	ecoli_3-ecoli_1	0.01646410456849346	0.8833768825453812	1
A4UGR9	ecoli_7-ecoli_1	0.085392438947081	0.45524542261750955	1
A4UGR9	ecoli_3-ecoli_2	-0.10281846324729851	0.3726141216927307	0.8600264117379874
A4UGR9	ecoli_7-ecoli_2	-0.03389012886871097	0.7632435699621485	1
A4UGR9	ecoli_7-ecoli_3	0.06892833437858753	0.5440170610477472	1
A5A3E0	ecoli_2-ecoli_1	0	1	1
A5A3E0	ecoli_3-ecoli_1	0	1	1
A5A3E0	ecoli_7-ecoli_1	0	1	1
A5A3E0	ecoli_3-ecoli_2	0	1	1
A5A3E0	ecoli_7-ecoli_2	0	1	1
A5A3E0	ecoli_7-ecoli_3	0	1	1
A5YKK6	ecoli_2-ecoli_1	0.07007352275295656	0.550600905450879	1
A5YKK6	ecoli_3-ecoli_1	0.6736123385293138	9.91091413809652e-4	0.026168684962136642
A5YKK6	ecoli_7-ecoli_1	0.35965828426173246	0.018172161379875054	0.7546494795253669
A5YKK6	ecoli_3-ecoli_2	0.6035388157763573	0.0017298629701312308	0.021002941338542875
A5YKK6	ecoli_7-ecoli_2	0.2895847615087759	0.04080068272998256	0.49675484033861655
A5YKK6	ecoli_7-ecoli_3	-0.3139540542675814	0.030603665240583878	0.23133073557276365
A6NC42	ecoli_2-ecoli_1	0	1	1
A6NC42	ecoli_3-ecoli_1	0	1	1
A6NC42	ecoli_7-ecoli_1	0	1	1
A6NC42	ecoli_3-ecoli_2	0	1	1
A6NC42	ecoli_7-ecoli_2	0	1	1
A6NC42	ecoli_7-ecoli_3	0	1	1
A6NDG6	ecoli_2-ecoli_1	-3.469265275622283e-15	0.9999998993287956	1
A6NDG6	ecoli_3-ecoli_1	-1.1107362210382648e-14	0.9999996776863564	1
A6NDG6	ecoli_7-ecoli_1	-6.790947422006594e-15	0.9999998029401612	1
A6NDG6	ecoli_3-ecoli_2	-7.638096934760365e-15	0.9999997783575609	1
A6NDG6	ecoli_7-ecoli_2	-3.321682146384311e-15	0.9999999036113656	1
A6NDG6	ecoli_7-ecoli_3	4.3164147883760535e-15	0.9999998747461953	1
A6NDK9, A6NDN3, P0CG33, Q9NYA3	ecoli_2-ecoli_1	0	1	1
A6NDK9, A6NDN3, P0CG33, Q9NYA3	ecoli_3-ecoli_1	0	1	1
A6NDK9, A6NDN3, P0CG33, Q9NYA3	ecoli_7-ecoli_1	0	1	1
A6NDK9, A6NDN3, P0CG33, Q9NYA3	ecoli_3-ecoli_2	0	1	1
A6NDK9, A6NDN3, P0CG33, Q9NYA3	ecoli_7-ecoli_2	0	1	1
A6NDK9, A6NDN3, P0CG33, Q9NYA3	ecoli_7-ecoli_3	0	1	1
A6NDU8	ecoli_2-ecoli_1	0.08237335432216582	0.519767436616422	1
A6NDU8	ecoli_3-ecoli_1	-0.23385813043123027	0.0976421299273558	0.3585809259576277
A6NDU8	ecoli_7-ecoli_1	-0.03502358628905293	0.7814068618847134	1
A6NDU8	ecoli_3-ecoli_2	-0.3162314847533961	0.03696588723946338	0.17020264628242132
A6NDU8	ecoli_7-ecoli_2	-0.11739694061121875	0.36684509884751887	1
A6NDU8	ecoli_7-ecoli_3	0.19883454414217733	0.14759110500422187	0.5916821977401394
A6NDY0, Q86U42	ecoli_2-ecoli_1	-4.0176521049562535e-15	0.9999998788565644	1
A6NDY0, Q86U42	ecoli_3-ecoli_1	-3.0109459360119284e-15	0.9999999092115679	1
A6NDY0, Q86U42	ecoli_7-ecoli_1	-1.694430509978929e-15	0.9999999489081861	1
A6NDY0, Q86U42	ecoli_3-ecoli_2	1.006706168944325e-15	0.9999999696449964	1
A6NDY0, Q86U42	ecoli_7-ecoli_2	2.3232215949773246e-15	0.9999999299483782	1
A6NDY0, Q86U42	ecoli_7-ecoli_3	1.3165154260329993e-15	0.9999999603033818	1
